Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.779760019045077,0.006821203641387128,0.0,1.0,1.0,1.0,1.0,-0.08057105349524118,0.0,0.0,0.8206214689265536,0.009887005649717515,0.1694915254237288,2113.5,1782.2,2103.0,0.5667100895070809,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9133420179014162
Bank,0.6890321280649571,0.14288612453750069,0.07870665502785366,0.4067331775851433,0.38257633709440936,0.3872759602524651,0.7989642184557438,-0.0777423539156391,-0.05684134960516862,-0.06196890316038539,0.9006591337099812,0.0,0.09934086629001883,1721.0,1789.8,1776.1,0.5819220910198766,0.7416470895327594,0.3226829425921517,0.8753621897851391,0.7989642184557438,0.8027368124433348,0.11586389806817667,3.0,4.0,9.0,3.0,2.0,8.0,10.0,0.675579132061731
Regulatory,0.719500702848822,0.16071710337765382,0.04702595801820923,0.38074913130318205,0.3573149741824441,0.35627472132326504,0.7928436911487758,0.048642693047025176,0.03748743718592962,-0.09149172087522173,0.9251412429378532,0.0018832391713747645,0.07297551789077213,1711.8,1828.5,1773.4,0.7384124049249905,0.8296136778908902,0.0,0.9172185186428302,0.7928436911487758,0.882138424339149,0.0,2.0,3.0,11.0,2.0,3.0,7.0,11.0,0.6482636611730745
Outcome_Pred_Model,0.6224647318428334,0.11718903462022728,0.1366415872507014,0.4058838250014721,0.4010629820870785,0.4032847222821589,0.7721280602636534,-0.09837935830715616,-0.07300789662598706,-0.05441702962859751,0.832391713747646,0.010828625235404897,0.15677966101694915,1684.3,1683.8999999999996,1763.4,0.4709417153422699,0.6681675802662492,0.4052245481007777,0.7839149577685977,0.7721280602636534,0.6575339779801771,0.2828409907737707,5.0,5.0,7.0,4.0,4.0,9.0,9.0,0.6408674683477904
Compromise Programming,0.5312934535773046,0.09969420269787244,0.01976920253361696,0.45222337021596964,0.42717058711034617,0.3222487104270363,0.666195856873823,-0.00331317298826328,0.006748025843503314,-0.07399639618349929,0.7580037664783428,0.22128060263653485,0.02071563088512241,1554.9,1836.1,1721.1,0.9821826280623606,0.9693291568780993,0.1912230366240779,0.6586680424623094,0.666195856873823,0.9504522723541675,0.3965206401493288,1.0,2.0,10.0,5.0,5.0,4.0,8.0,0.6328930841792788
Nash Bargaining,0.10509960427748014,0.01914014445757565,0.39899312184258734,0.37528959226027375,0.37379996175176905,0.28572567239579627,0.3799435028248588,0.16717458233703725,0.20202440775305097,-0.03956766203176043,0.332391713747646,0.3121468926553672,0.3554613935969868,1146.1999999999998,1138.4,1542.8,0.10097911501449741,0.0817671626207257,0.5675274040836589,0.07318250400300516,0.3799435028248588,0.0,0.9199527678300745,8.0,9.0,2.0,6.0,6.0,10.0,4.0,0.3003152057501758
Kalai-Smorodinsky,0.10098104321580051,0.018818125786933124,0.39899312184258734,0.3743804383212344,0.370166379804934,0.28173972417415577,0.3709981167608286,0.1653773422726491,0.19778894472361813,-0.04167795131052332,0.3229755178907721,0.3215630885122411,0.3554613935969868,1135.3000000000002,1133.3000000000002,1538.6,0.11064419884859455,0.10101801096319485,0.5444620462723118,0.06752461394936751,0.3709981167608286,0.0,0.9220452126008213,7.0,7.0,5.0,7.0,7.0,10.0,3.0,0.2929254185183862
Nash Social Welfare,0.10073900167303242,0.021749262094216223,0.026529465501194647,0.44425282165307195,0.3889016382992287,0.20990465989956517,0.2890772128060264,0.1859518339662744,0.2200143575017947,-0.04143233280674041,0.3112052730696798,0.660075329566855,0.02871939736346516,1080.0,1596.6,1559.7,0.0,0.0,0.5471466444133599,0.06719210839296422,0.2890772128060264,0.9335089653208077,0.902998985168471,10.0,10.0,3.0,8.0,8.0,5.0,6.0,0.23849863568367538
Proportional Fairness,0.10073900167303242,0.021749262094216223,0.026529465501194647,0.44425282165307195,0.3889016382992287,0.20990465989956517,0.2890772128060264,0.1859518339662744,0.2200143575017947,-0.04143233280674041,0.3112052730696798,0.660075329566855,0.02871939736346516,1080.0,1596.6,1559.7,0.0,0.0,0.5471466444133599,0.06719210839296422,0.2890772128060264,0.9335089653208077,0.902998985168471,10.0,10.0,3.0,8.0,8.0,5.0,6.0,0.23849863568367538
Maximin,0.09419554185743235,0.02053686179924712,0.01917055523431826,0.4372806993328733,0.3772263657805826,0.19449255751520558,0.2711864406779661,0.17441824120524485,0.20008614501076816,-0.053813669285394106,0.294256120527307,0.6822033898305084,0.023540489642184557,1056.7,1595.6,1548.5,0.06202462495272498,0.09057687287914373,0.4118192469153982,0.058203003787589525,0.2711864406779661,0.9519526673898867,0.9108770397303327,9.0,8.0,6.0,10.0,10.0,3.0,5.0,0.214883951402329
Applicant,0.05182769398484269,0.013754265620320665,0.0,0.2931572166973025,0.3983553260661694,0.11415336617098469,0.1699623352165725,0.11821151171331676,0.13487437185929652,-0.058238636363636354,0.18455743879472694,0.815442561205273,0.0,936.1,1571.6,1504.7,0.364289616338194,0.38697468024014614,0.3634545748345537,0.0,0.1699623352165725,1.0,0.9549496640858216,6.0,6.0,8.0,11.0,11.0,1.0,2.0,0.21353377232117857
