Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.8063006935264503,0.009261888678398722,0.0,1.0,1.0,1.0,1.0,0.005328441649196325,0.0,0.0,0.8383458646616542,0.013157894736842105,0.14849624060150377,532.0,505.3,528.8,0.9697570649479428,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9939514129895887
Regulatory,0.7452978922656122,0.15158719278129518,0.04470986002518654,0.37538715672104067,0.35214092448581863,0.34927711942847456,0.8157894736842105,0.0034067085953878307,0.014920290976629058,0.015627303553000238,0.9417293233082706,0.0037593984962406013,0.05451127819548872,440.6,462.30000000000007,449.4,0.9806643529995043,0.9152899824253072,0.5737838995247204,0.919114808023296,0.8157894736842105,0.8561763487668235,0.0,1.0,2.0,8.0,2.0,2.0,2.0,11.0,0.8210284015831883
Bank,0.7055569228969638,0.14954322249364374,0.08445082939383487,0.3588703385863629,0.34963387636941595,0.3469070955397917,0.8007518796992481,-0.09390286512928026,-0.08398080792446982,0.015802884094112568,0.9266917293233082,0.0,0.07330827067669173,432.59999999999997,453.2,443.1,0.46703024293505224,0.5231985940246051,0.5689951492903353,0.8664212288714316,0.8007518796992481,0.7283367331892977,0.014361257125252401,6.0,6.0,9.0,3.0,3.0,4.0,10.0,0.7007900760990631
Compromise Programming,0.49602617725934645,0.09902038984994267,0.22746393923324276,0.34367201426024957,0.32183875423360014,0.330237371823426,0.6522556390977443,0.10272536687631029,0.09487695403188356,-0.005129985342899102,0.7236842105263158,0.08458646616541353,0.19172932330827067,391.1,403.70000000000005,418.8,0.4169558750619735,0.46133567662565944,0.8600857568978355,0.5885989938980906,0.6522556390977443,0.2682890475170999,0.3693426356099577,9.0,7.0,6.0,5.0,5.0,8.0,8.0,0.6340303808106778
Outcome_Pred_Model,0.613463807492587,0.12871404357146418,0.1742150476417055,0.3500734214390602,0.35178142324648537,0.3508609908609908,0.7537593984962406,-0.17618798043326356,-0.17613372542950012,0.008336491095111698,0.8533834586466166,0.005639097744360902,0.14097744360902256,412.0,428.3,430.90000000000003,0.0,0.0,0.7726321297749897,0.7443125852475893,0.7537593984962406,0.43958124142019483,0.16071034840926438,11.0,11.0,7.0,4.0,4.0,5.0,9.0,0.6048927024030121
Nash Bargaining,0.19410609577713628,0.04742849967595593,0.2401250378230782,0.33816248402560367,0.34063012728506287,0.24256640409485553,0.3458646616541353,-0.0556429070580014,-0.058783470051075704,-0.003726708074534124,0.3684210526315789,0.4323308270676692,0.19924812030075187,354.8,343.7,381.5,0.6841844323252357,0.666256590509666,0.8983584738243136,0.18827534895773793,0.3458646616541353,0.22756054989291713,0.7318353806575111,4.0,3.0,4.0,6.0,6.0,9.0,6.0,0.49250951568311163
Nash Social Welfare,0.08100323951946892,0.017240936736626952,0.22056736573808608,0.35928680590932244,0.352374735442227,0.20877094720961675,0.2575187969924812,0.10001747030048916,0.10403962234948153,0.0015037593984962294,0.24436090225563908,0.5676691729323309,0.18796992481203006,350.6,334.29999999999995,376.9,0.4323252354982652,0.40931458699472767,0.9589867525957756,0.03830934653765033,0.2575187969924812,0.29047409530102547,0.9439379518032882,7.0,8.0,2.0,8.0,8.0,6.0,4.0,0.3889317857233307
Proportional Fairness,0.08100323951946892,0.017240936736626952,0.22056736573808608,0.35928680590932244,0.352374735442227,0.20877094720961675,0.2575187969924812,0.10001747030048916,0.10403962234948153,0.0015037593984962294,0.24436090225563908,0.5676691729323309,0.18796992481203006,350.6,334.29999999999995,376.9,0.4323252354982652,0.40931458699472767,0.9589867525957756,0.03830934653765033,0.2575187969924812,0.29047409530102547,0.9439379518032882,7.0,8.0,2.0,8.0,8.0,6.0,4.0,0.3889317857233307
Kalai-Smorodinsky,0.1917604281327974,0.04794883967296475,0.2401250378230782,0.3331741888088952,0.3341685655359947,0.23659420289855074,0.3383458646616541,-0.05092592592592593,-0.06413867822318525,-0.030188679245283012,0.36466165413533835,0.43796992481203006,0.19736842105263158,353.2,342.5,380.29999999999995,0.7109568666336143,0.6358523725834799,0.17663971248877086,0.18516516755943394,0.3383458646616541,0.22756054989291713,0.7281793898954422,3.0,4.0,10.0,7.0,7.0,9.0,7.0,0.3498906952010255
Applicant,0.05211071424807013,0.01721791340545391,0.0668738556307926,0.34284390308486695,0.31524609616793303,0.13275479554703257,0.15977443609022557,0.12229210342417893,0.12007429190527782,0.0050055617352613435,0.17105263157894737,0.7800751879699248,0.04887218045112782,368.4,347.3,376.09999999999997,0.3058998512642541,0.31827768014059765,0.8634792626728129,0.0,0.15977443609022557,0.7848787251080017,0.9440997173538217,10.0,10.0,5.0,11.0,11.0,3.0,3.0,0.2977855972235037
