Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.8063006935264503,0.009261888678398722,0.0,1.0,1.0,1.0,1.0,0.005328441649196325,0.0,0.0,0.8383458646616542,0.013157894736842105,0.14849624060150377,532.0,505.3,528.8,0.9732573432704956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9946514686540991
Regulatory,0.7447789051100934,0.15258425145819832,0.045228847180705314,0.38117283950617287,0.3528883086412746,0.3499635882158226,0.8176691729323309,0.03118448637316562,0.025909301965640008,0.0005012531328321135,0.9473684210526315,0.0018796992481203006,0.05075187969924812,441.9,464.0,450.2,0.8434896975010959,0.8690345798779533,0.989060651629072,0.9184266695306376,0.8176691729323309,0.8576999535615799,0.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,0.8772630729050935
Bank,0.7005461110798143,0.14202477690812104,0.08946164121098431,0.3641645752528709,0.35508315831299314,0.3542451797300879,0.7969924812030075,-0.11460517120894476,-0.10032502708559043,0.020947433798204518,0.9154135338345865,0.0,0.08458646616541353,431.0,450.1,442.2,0.4248136782113109,0.4928806133625414,0.5428432047879853,0.8597772638827376,0.7969924812030075,0.718533712612265,0.07367639177356325,6.0,6.0,8.0,3.0,3.0,4.0,10.0,0.6842838218576097
Compromise Programming,0.4946592003780305,0.09632833142230421,0.21182611193639928,0.34632338389017825,0.3195966017672324,0.3306616893573416,0.6466165413533834,0.12141858839972042,0.11713357065469743,-0.0014687693259121115,0.7180451127819549,0.09962406015037593,0.18233082706766918,393.7,405.5,419.9,0.3906181499342395,0.4079173838209984,0.9679455782312941,0.586786483895473,0.6466165413533834,0.3335477810215204,0.39251320550949664,9.0,7.0,3.0,5.0,5.0,6.0,8.0,0.6477166589535548
Outcome_Pred_Model,0.6019073730948918,0.1326306146866743,0.18577148203940066,0.3355326651818857,0.33811091559289325,0.3368164622934308,0.7368421052631579,-0.1992487770789657,-0.19783315276273028,0.00868468468468464,0.8439849624060151,0.005639097744360902,0.15037593984962405,403.79999999999995,421.3,424.8,0.0,0.0,0.8104654414414427,0.7289896099824544,0.7368421052631579,0.4155214609931914,0.13922207521920893,11.0,11.0,5.0,4.0,4.0,5.0,9.0,0.6026278523900426
Nash Social Welfare,0.08522176340758829,0.019168409442145668,0.225865107195782,0.3503445729084329,0.39155496449587385,0.20369243181047633,0.2556390977443609,0.1185359888190077,0.11784553474694323,-0.008819345661450928,0.24812030075187969,0.5676691729323309,0.18421052631578946,347.6,333.6,374.5,0.4050854888206925,0.4043185729932718,0.8075266002844952,0.04390279646939792,0.2556390977443609,0.28937796901244567,0.9308794484572702,7.0,8.0,6.0,6.0,6.0,7.0,6.0,0.35355861621266155
Proportional Fairness,0.08522176340758829,0.019168409442145668,0.225865107195782,0.3503445729084329,0.39155496449587385,0.20369243181047633,0.2556390977443609,0.1185359888190077,0.11784553474694323,-0.008819345661450928,0.24812030075187969,0.5676691729323309,0.18421052631578946,347.6,333.6,374.5,0.4050854888206925,0.4043185729932718,0.8075266002844952,0.04390279646939792,0.2556390977443609,0.28937796901244567,0.9308794484572702,7.0,8.0,6.0,6.0,6.0,7.0,6.0,0.35355861621266155
Applicant,0.05211071424807013,0.01721791340545391,0.08630888814835114,0.34130025435037653,0.31946550545063346,0.13715872619503905,0.16165413533834586,0.12229210342417893,0.12007429190527782,0.0050055617352613435,0.17105263157894737,0.768796992481203,0.06015037593984962,365.8,345.1,375.20000000000005,0.38623410784743506,0.3930527304021282,0.8907586206896566,0.0,0.16165413533834586,0.7284529773113874,0.9444886019687044,10.0,10.0,4.0,11.0,11.0,3.0,3.0,0.32006019984275674
Maximin,0.06224665038404911,0.01317018669923725,0.3178414084374732,0.3715837027157782,0.35608868057639126,0.2194618834584523,0.25375939849624063,0.08674004192872117,0.08008048289738429,-0.03456790123456788,0.20864661654135339,0.4981203007518797,0.2932330827067669,336.29999999999995,313.0,373.6,0.5646646207803594,0.595212016898764,0.24559012345679176,0.01343949987996021,0.25375939849624063,0.0,0.9727307173490907,5.0,5.0,9.0,10.0,8.0,11.0,2.0,0.26624260822191853
Nash Bargaining,0.06712275951815802,0.018163614836233116,0.2457150840776772,0.3365860005204267,0.3349673070113554,0.18741004181910492,0.231203007518797,0.08403214535290005,0.06881287726358148,-0.043055555555555514,0.22932330827067668,0.5733082706766918,0.19736842105263158,340.5,325.6,369.4,0.578255151249452,0.6521671099984354,0.06035555555555794,0.01990485909724183,0.231203007518797,0.2269255120482042,0.9378901799748376,4.0,4.0,10.0,8.0,9.0,9.0,4.0,0.2241843161879692
