Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.8063006935264503,0.009261888678398722,0.0,1.0,1.0,1.0,1.0,0.005328441649196325,0.0,0.0,0.8383458646616542,0.013157894736842105,0.14849624060150377,532.0,505.3,528.8,0.9716279069767444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.994325581395349
Regulatory,0.7339666933609157,0.1507272296724662,0.05604105892988296,0.3620002747630169,0.34642674689220637,0.34138146585403967,0.8101503759398496,0.024283717679944083,0.02055409379353046,0.0019327406262079627,0.943609022556391,0.0018796992481203006,0.05451127819548872,438.29999999999995,461.0,447.5,0.8706976744186047,0.8794480755265066,0.9552708597934728,0.9040904783238505,0.8101503759398496,0.808322325878995,0.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,0.8700719528831256
Compromise Programming,0.5145629288234923,0.10347478313973778,0.21005417203991536,0.35651448368431554,0.3739421067853832,0.3485358066127537,0.6654135338345865,0.08857442348008393,0.09178145797864101,0.0068058076225044895,0.7349624060150376,0.08834586466165413,0.17669172932330826,397.79999999999995,409.6,422.8,0.5283720930232554,0.4616920842411044,0.8424941664506103,0.613177352234119,0.6654135338345865,0.2815500651691823,0.3340213666519916,6.0,7.0,3.0,5.0,5.0,6.0,8.0,0.6629741358754315
Bank,0.6984767365901491,0.1460285906575602,0.09153101570064959,0.3478319783197832,0.3439196987758037,0.3397717295873573,0.7951127819548872,-0.10316212438853956,-0.07834700510756842,0.03022663122413749,0.924812030075188,0.0,0.07518796992481203,430.0,450.9,440.6,0.4506976744186041,0.5404865649963695,0.30046939166996045,0.8570334267243,0.7951127819548872,0.686935747923949,0.03321406488606328,7.0,6.0,10.0,3.0,3.0,4.0,10.0,0.6396852113445278
Outcome_Pred_Model,0.6095656505117805,0.13312914402512588,0.178113204622512,0.33971610376896716,0.34184783637017274,0.34072150072150076,0.7462406015037594,-0.1878057302585604,-0.17049992261259872,0.027151211361737704,0.8533834586466166,0.005639097744360902,0.14097744360902256,408.4,425.6,427.4,0.0,0.0,0.3716433941997841,0.739143918084262,0.7462406015037594,0.3907980069577702,0.12439856662896906,11.0,11.0,9.0,4.0,4.0,5.0,9.0,0.5206537030583129
Kalai-Smorodinsky,0.1598606179714313,0.056610786928560745,0.24318411645495558,0.3241503095582058,0.32322269885419114,0.225744219886325,0.31954887218045114,-0.04839273235499647,-0.0525924779445906,-0.011077158135981757,0.3533834586466165,0.4548872180451128,0.19172932330827067,351.8,340.0,377.59999999999997,0.7423255813953489,0.6915395787944809,0.7436429117101363,0.1428683842053402,0.31954887218045114,0.16823545601487677,0.6652968287677781,3.0,3.0,5.0,7.0,7.0,9.0,6.0,0.45358692433434555
Nash Bargaining,0.16166922022849564,0.056610786928560745,0.24318411645495558,0.324875300997592,0.32471746716510297,0.22740638451930129,0.3233082706766917,-0.05310971348707194,-0.058226280761492055,-0.013574660633484226,0.35714285714285715,0.45112781954887216,0.19172932330827067,352.2,340.6,378.0,0.7172093023255814,0.6584967320261437,0.6858435681965077,0.14526645671592278,0.3233082706766917,0.16823545601487677,0.6652968287677781,4.0,4.0,6.0,6.0,6.0,9.0,6.0,0.4389871737182791
Nash Social Welfare,0.08047256867114477,0.017082429333466275,0.2167964089867889,0.3536638799796694,0.3446833010322821,0.20477432193372458,0.2556390977443609,0.10455974842767293,0.10122272094103082,-0.015177548682703268,0.25,0.5789473684210527,0.17105263157894737,352.9,337.4,376.8,0.44325581395348834,0.4063180827886711,0.6487481590574384,0.037605716334512526,0.2556390977443609,0.2584895391722278,0.9447176205838609,8.0,8.0,7.0,8.0,8.0,7.0,4.0,0.32817757696683225
Proportional Fairness,0.08047256867114477,0.017082429333466275,0.2167964089867889,0.3536638799796694,0.3446833010322821,0.20477432193372458,0.2556390977443609,0.10455974842767293,0.10122272094103082,-0.015177548682703268,0.25,0.5789473684210527,0.17105263157894737,352.9,337.4,376.8,0.44325581395348834,0.4063180827886711,0.6487481590574384,0.037605716334512526,0.2556390977443609,0.2584895391722278,0.9447176205838609,8.0,8.0,7.0,8.0,8.0,7.0,4.0,0.32817757696683225
Applicant,0.05211071424807013,0.01647011939777656,0.09030614783546234,0.34634905685058737,0.31946550545063346,0.13762170011188077,0.16165413533834586,0.12465059399021666,0.12007429190527782,-0.00847936687394013,0.16917293233082706,0.7725563909774437,0.05827067669172932,366.79999999999995,345.70000000000005,375.8,0.3362790697674415,0.2957516339869283,0.8037632237745282,0.0,0.16165413533834586,0.6911251731059107,0.9490459594645155,10.0,10.0,4.0,11.0,11.0,3.0,3.0,0.29267011284373234
Maximin,0.06061159105748718,0.014531794954883095,0.2923713426035447,0.3627009076324145,0.3454077095446227,0.21384530716590766,0.24436090225563908,0.08674004192872117,0.07472527472527474,-0.043209876543209846,0.20864661654135339,0.5169172932330827,0.2744360902255639,338.6,315.1,372.9,0.5381395348837208,0.5617283950617284,0.0,0.011271532429469313,0.24436090225563908,0.0,0.9627477215305664,5.0,5.0,11.0,10.0,10.0,11.0,2.0,0.20762657436489368
