Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.779760019045077,0.006821203641387129,0.0,1.0,1.0,1.0,1.0,-0.08057105349524118,0.0,0.0,0.8206214689265536,0.009887005649717515,0.1694915254237288,2124.0,2001.3,2103.0,0.613559703170677,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9227119406341354
Bank,0.704856248709733,0.1478894896326089,0.0628825343830777,0.4033491397034137,0.3747163256199401,0.3782045825885667,0.8013182674199624,-0.075827902542704,-0.044020100502512594,-0.05261797026502901,0.9143126177024482,0.0,0.0856873822975518,1727.0,1807.4,1774.0,0.6363091222547035,0.8139111434814275,0.45588884849067335,0.8966302600820104,0.8013182674199624,0.7740119306284938,0.08796130075847469,2.0,2.0,3.0,3.0,2.0,4.0,10.0,0.7182929531334625
Outcome_Pred_Model,0.6396075479207968,0.12151857564701601,0.12148440268126678,0.40080657670234215,0.3930420093070695,0.39617853410956866,0.775894538606403,-0.10043446325034766,-0.07735821966977752,-0.057153446997776136,0.8469868173258004,0.00847457627118644,0.1445386064030132,1692.4,1745.2,1761.4,0.5182894835469608,0.6729788783685359,0.40898845580602916,0.8065848431378051,0.775894538606403,0.5634077746701276,0.25845528471973805,4.0,4.0,5.0,4.0,4.0,5.0,9.0,0.6571303719407203
Regulatory,0.724026655532273,0.16149477846725555,0.04172184366539579,0.37327377809886353,0.3527156244023714,0.34981779879667413,0.7923728813559322,0.06932658196196106,0.05177315147164396,-0.0967044511384676,0.928436911487759,0.002824858757062147,0.0687382297551789,1715.3,1819.5,1774.1000000000001,0.6674911925642754,0.7811361981063364,0.0,0.9230860707641192,0.7923728813559322,0.8500594959623649,0.0,1.0,3.0,11.0,2.0,3.0,2.0,11.0,0.6350646052080517
Compromise Programming,0.5044430269570979,0.09268824406439086,0.19258505860847905,0.38291851679052313,0.36309683177153057,0.37178310577816226,0.6840866290018832,0.17205838685983088,0.17705671213208907,-0.0887814397224631,0.7311676082862524,0.07909604519774012,0.18973634651600754,1615.8,1658.3000000000002,1721.1000000000001,0.1747620118431903,0.25151735858218005,0.08193016270429798,0.6200532264300621,0.6840866290018832,0.30788531327960095,0.44484996535657184,5.0,5.0,10.0,5.0,5.0,8.0,8.0,0.4489837317962634
Applicant,0.055140121628575685,0.011892721411987467,0.05505259804080618,0.42062586548675623,0.32324376872569643,0.18722712766538194,0.20527306967984935,0.19156234860205978,0.22486719310839914,-0.03397124805420748,0.2029190207156309,0.7372881355932204,0.059792843691148775,1486.5,1418.1,1524.5,0.08121580091447422,0.049405195435785476,0.6487106058275923,0.0,0.20527306967984935,0.8021512576236843,0.9672114789076942,6.0,6.0,2.0,11.0,11.0,3.0,2.0,0.22809450922035307
Nash Social Welfare,0.0882792695713527,0.01569068238976496,0.18125294306605616,0.3951559689737055,0.3407917383820998,0.26233175094046474,0.3130885122410546,0.20653413974713616,0.23655419956927498,-0.059757834757834694,0.2886064030131827,0.524482109227872,0.1869114877589454,1466.3000000000002,1397.4,1559.4,0.009407090922719297,0.0,0.3820570402465796,0.045733146524030786,0.3130885122410546,0.3486108174033049,0.9426567934544535,9.0,10.0,6.0,6.0,6.0,6.0,6.0,0.2126748604350878
Proportional Fairness,0.0882792695713527,0.01569068238976496,0.18125294306605616,0.3951559689737055,0.3407917383820998,0.26233175094046474,0.3130885122410546,0.20653413974713616,0.23655419956927498,-0.059757834757834694,0.2886064030131827,0.524482109227872,0.1869114877589454,1466.3000000000002,1397.4,1559.4,0.009407090922719297,0.0,0.3820570402465796,0.045733146524030786,0.3130885122410546,0.3486108174033049,0.9426567934544535,9.0,10.0,6.0,6.0,6.0,6.0,6.0,0.2126748604350878
Nash Bargaining,0.07530916614133251,0.014694839650802954,0.19932989643015012,0.38833324173890427,0.3319643653981003,0.249070375522472,0.2895480225988701,0.20246300029693529,0.23026561378320173,-0.05690200210748153,0.263653483992467,0.5400188323917138,0.1963276836158192,1442.9,1370.0,1541.1,0.02893336331609342,0.026584122359796125,0.41158859351773147,0.02783396451666017,0.2895480225988701,0.2836456274511374,0.9490951442851181,7.0,7.0,4.0,8.0,9.0,10.0,5.0,0.20949039330964506
Kalai-Smorodinsky,0.07355891893941544,0.013889792974196645,0.19924179919859433,0.3895609794638292,0.33062567731242426,0.24773992558058855,0.2862523540489642,0.20571366058730678,0.2317157214644652,-0.0633615197497972,0.2589453860640301,0.5451977401129944,0.1958568738229755,1442.3,1368.5,1540.3,0.013342328161307315,0.02045399368778833,0.34479210621781886,0.025418564100307732,0.2862523540489642,0.28396223242693214,0.9542999549808858,8.0,8.0,8.0,9.0,10.0,9.0,4.0,0.19121154131547247
Maximin,0.06848888222429668,0.012896365375264458,0.2782559918227536,0.3878260192966075,0.3654076623956142,0.2518355619425538,0.2904896421845574,0.20849547564349008,0.2325340990667624,-0.07352368042023205,0.23728813559322035,0.480225988700565,0.2824858757062147,1394.5,1301.1,1530.1999999999998,0.0,0.016994416120417632,0.2397073810495428,0.018421741720471025,0.2904896421845574,0.0,0.9607226913794633,11.0,9.0,9.0,10.0,8.0,11.0,3.0,0.16782168142782575
