Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.8063006935264503,0.009261888678398722,0.0,1.0,1.0,1.0,1.0,0.005328441649196325,0.0,0.0,0.8383458646616542,0.013157894736842105,0.14849624060150377,532.0,505.3,528.8,0.9767086674303171,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9953417334860635
Regulatory,0.6059933823047936,0.12503427389201854,0.17304208987475422,0.338517016001803,0.34148833513083954,0.33691627134250085,0.6842105263157895,0.10656883298392739,0.10784708249496977,0.006053935057787507,0.7669172932330827,0.015037593984962405,0.21804511278195488,389.8,403.3,420.79999999999995,0.534173348606338,0.5132038563643986,0.8877092690894253,0.7377854414265291,0.6842105263157895,0.4601817089470019,0.0,8.0,9.0,4.0,2.0,2.0,2.0,11.0,0.7056178223507743
Bank,0.5372191471001889,0.10631449723316218,0.25224324815037646,0.34694005948295586,0.3622731830996575,0.342961715224489,0.6578947368421053,-0.2129629629629629,-0.21392973223959133,0.009867707655606073,0.706766917293233,0.0018796992481203006,0.29135338345864664,370.6,377.6,407.6,0.06911034746086309,0.03437194355176765,0.8169699386460164,0.6477557484741445,0.6578947368421053,0.2131075205763609,0.16169466167873436,10.0,10.0,5.0,3.0,3.0,7.0,10.0,0.569925101653047
Compromise Programming,0.45476337591660354,0.09506019741761802,0.2505056940776631,0.34635876840696117,0.3296531759096328,0.3240159704837919,0.5845864661654135,-0.10918937805730256,-0.09308156632100295,0.03259501636043294,0.6240601503759399,0.09398496240601503,0.2819548872180451,365.20000000000005,368.4,401.5,0.5227185948835434,0.5798518932513621,0.39541501912100196,0.5398160856087516,0.5845864661654135,0.21852795597923422,0.2589052339130202,9.0,8.0,8.0,5.0,5.0,5.0,8.0,0.5254245263888249
Outcome_Pred_Model,0.5170759649246082,0.10531743855625904,0.25224324815037646,0.34611214787167865,0.3533045732341867,0.3372564349078564,0.6353383458646616,-0.22877358490566035,-0.221544652530568,0.02247393024092048,0.6823308270676691,0.02631578947368421,0.29135338345864664,368.20000000000005,373.2,404.79999999999995,0.0,0.0,0.5831448423055072,0.6213870872893807,0.6353383458646616,0.2131075205763609,0.17030689399184942,11.0,11.0,7.0,4.0,4.0,7.0,9.0,0.4950417242648423
Nash Social Welfare,0.06430530491482518,0.014187444538611097,0.25224324815037646,0.3638457358021816,0.3793562495100782,0.20067986265169366,0.22932330827067668,-0.015111809923130687,-0.016003714595263896,0.005847953216374324,0.18796992481203006,0.5206766917293233,0.29135338345864664,326.2,304.8,363.9,0.9339442535318824,0.9277630292021797,0.8915299000188633,0.028682517369277318,0.22932330827067668,0.2131075205763609,0.9574548295681748,3.0,3.0,2.0,8.0,8.0,7.0,4.0,0.46256065749227526
Proportional Fairness,0.06430530491482518,0.014187444538611097,0.25224324815037646,0.3638457358021816,0.3793562495100782,0.20067986265169366,0.22932330827067668,-0.015111809923130687,-0.016003714595263896,0.005847953216374324,0.18796992481203006,0.5206766917293233,0.29135338345864664,326.2,304.8,363.9,0.9339442535318824,0.9277630292021797,0.8915299000188633,0.028682517369277318,0.22932330827067668,0.2131075205763609,0.9574548295681748,3.0,3.0,2.0,8.0,8.0,7.0,4.0,0.46256065749227526
Maximin,0.049604780941801103,0.0121014644299317,0.3205561811127392,0.3575204975968334,0.3411409974672732,0.19063573564766487,0.2161654135338346,-0.0031446540880503138,-0.0016406129082185417,0.01388888888888884,0.16917293233082706,0.4924812030075188,0.3383458646616541,315.7,292.5,359.1,0.9862542955326461,0.9925946625681151,0.7423835125448037,0.009438629660557096,0.2161654135338346,0.0,0.9754727714532833,1.0,2.0,6.0,10.0,10.0,11.0,2.0,0.43408145296113526
Nash Bargaining,0.14966783165233893,0.027976508051248815,0.24989278966079545,0.3589644685547884,0.3571482631765313,0.23184849305409574,0.29135338345864664,-0.08857442348008385,-0.08416653768766444,0.03809523809523807,0.2650375939849624,0.45112781954887216,0.28383458646616544,335.70000000000005,316.5,371.1,0.6128293241695304,0.6200922174095291,0.2933947772657455,0.14042730157450434,0.29135338345864664,0.22043995909438266,0.8383498850929051,6.0,6.0,9.0,6.0,6.0,4.0,6.0,0.32587163398541474
Kalai-Smorodinsky,0.1453680303411362,0.027976508051248815,0.2505056940776631,0.357653733595265,0.3541587265547077,0.22810385722380075,0.28383458646616544,-0.0791404612159329,-0.07289893205386164,0.04269293924466344,0.2575187969924812,0.45864661654135336,0.28383458646616544,334.9,315.3,370.29999999999995,0.6540664375715922,0.6709515159983233,0.20811483659092,0.13479859787969503,0.28383458646616544,0.21852795597923422,0.8383498850929051,5.0,5.0,10.0,7.0,7.0,5.0,6.0,0.31292980899490763
