Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.8063006935264503,0.009261888678398722,0.0,1.0,1.0,1.0,1.0,0.005328441649196325,0.0,0.0,0.8383458646616542,0.013157894736842105,0.14849624060150377,532.0,505.3,528.8,0.9689567430025448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993791348600509
Regulatory,0.7292380785172334,0.15325726606510792,0.06076967377356517,0.35250091274187656,0.34418459442583865,0.3389830508474576,0.8045112781954887,0.010482180293501009,0.01519888562142091,0.009506833036244777,0.9360902255639098,0.0018796992481203006,0.06203007518796992,435.4,457.9,445.79999999999995,0.9389312977099239,0.9047156995924699,0.8607065126402146,0.8979213019109525,0.8045112781954887,0.7983826940103621,0.0,2.0,2.0,6.0,2.0,2.0,2.0,11.0,0.8613163337304138
Bank,0.6999088300126836,0.14280996061618226,0.0900989222781151,0.3637176493964532,0.35310590149666043,0.3515356338195186,0.8007518796992481,-0.11242138364779874,-0.09496981891348089,0.023773898586866182,0.9229323308270677,0.0,0.07706766917293233,432.59999999999997,452.3,442.9,0.3450381679389313,0.4046186687366582,0.6516664140753087,0.8590711862885263,0.8007518796992481,0.7010761971510642,0.07255306134493976,9.0,9.0,8.0,3.0,3.0,4.0,10.0,0.6914559055402525
Compromise Programming,0.515187977299498,0.1039433670671519,0.19569919094183605,0.3448700199969235,0.31863162475639056,0.33053892215568864,0.6616541353383458,0.0931167016072676,0.08896455657019031,-0.0006684491978609097,0.7406015037593985,0.09398496240601503,0.16541353383458646,398.5,411.6,422.7,0.4575063613231556,0.44226664079177214,0.9902059266700158,0.6143862096288911,0.6616541353383458,0.3507231286272223,0.3424686256803942,8.0,6.0,2.0,5.0,5.0,6.0,8.0,0.6770813536597509
Outcome_Pred_Model,0.6158056277897173,0.1349363128770128,0.1718732273445753,0.33174284788070346,0.33415640196022783,0.3328028475109947,0.7443609022556391,-0.17164570230607967,-0.15951091162358766,0.019924227048237597,0.8590225563909775,0.005639097744360902,0.13533834586466165,407.4,426.1,426.6,0.0,0.0,0.7080715462324523,0.7476663840116573,0.7443609022556391,0.42977121782688027,0.12723292594937252,11.0,11.0,7.0,4.0,4.0,5.0,9.0,0.5888919469510776
Nash Social Welfare,0.07632210311569938,0.015154956627947554,0.19616841047320555,0.35938328039300477,0.29978889438502315,0.20474002433848726,0.2518796992481203,0.09075821104122991,0.09305061136047052,-0.0018575851393188847,0.2424812030075188,0.5845864661654135,0.17293233082706766,353.70000000000005,337.2,377.8,0.4712468193384224,0.4166504948573645,0.9727827856935156,0.03305559857921645,0.2518796992481203,0.34916638540386824,0.9590746032511682,6.0,7.0,3.0,8.0,8.0,7.0,3.0,0.396168920421479
Proportional Fairness,0.07632210311569938,0.015154956627947554,0.19616841047320555,0.35938328039300477,0.29978889438502315,0.20474002433848726,0.2518796992481203,0.09075821104122991,0.09305061136047052,-0.0018575851393188847,0.2424812030075188,0.5845864661654135,0.17293233082706766,353.70000000000005,337.2,377.8,0.4712468193384224,0.4166504948573645,0.9727827856935156,0.03305559857921645,0.2518796992481203,0.34916638540386824,0.9590746032511682,6.0,7.0,3.0,8.0,8.0,7.0,3.0,0.396168920421479
Maximin,0.06045342739787819,0.013843201306146866,0.30141099979129976,0.3691771101916812,0.3538465281100236,0.21736311812871004,0.24812030075187969,0.07983927323549966,0.07472527472527474,-0.02543103448275863,0.20488721804511278,0.5075187969924813,0.287593984962406,337.70000000000005,313.3,373.8,0.5348600508905852,0.531535028138948,0.6273861687940558,0.012035629850167614,0.24812030075187969,0.0,0.9681843076431217,5.0,5.0,9.0,10.0,10.0,11.0,2.0,0.33410449020771366
Nash Bargaining,0.18359817605590845,0.055367579390797145,0.22641957797171086,0.33743010149908487,0.3334211813805388,0.23787912874101025,0.33646616541353386,-0.05782669461914741,-0.033709952019811196,0.0658972449739389,0.3609022556390977,0.45300751879699247,0.18609022556390978,357.70000000000005,345.4,382.2,0.6631043256997458,0.7886667960411409,0.03447793551996681,0.17515565397614943,0.33646616541353386,0.2488012112083294,0.6798113137439231,4.0,4.0,10.0,6.0,6.0,9.0,6.0,0.309134049204586
Kalai-Smorodinsky,0.18178957379884408,0.055367579390797145,0.22641957797171086,0.33679288006773384,0.33192641306962706,0.2362406425929852,0.33270676691729323,-0.05310971348707194,-0.028076149202909795,0.06825037707390647,0.35714285714285715,0.4567669172932331,0.18609022556390978,357.3,344.80000000000007,381.79999999999995,0.6905852417302801,0.8239860275567629,0.0,0.1727599428555242,0.33270676691729323,0.2488012112083294,0.6798113137439231,3.0,3.0,11.0,7.0,7.0,9.0,6.0,0.3057517436840782
