Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.779760019045077,0.006821203641387129,0.0,1.0,1.0,1.0,1.0,-0.08057105349524118,0.0,0.0,0.8206214689265536,0.009887005649717515,0.1694915254237288,2113.5,1782.1999999999998,2103.0,0.5722464219041695,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.914449284380834
Bank,0.6966568038199855,0.14653218093585066,0.07108197927282524,0.3997937740651308,0.37593389430738827,0.3794769051293106,0.7970809792843692,-0.06559926235016489,-0.038262742282842765,-0.05678001158269208,0.9063088512241054,0.0,0.09369114877589454,1718.0,1797.8999999999999,1771.8000000000002,0.6517320058079237,0.8260897937875229,0.420928615620871,0.8859965164876938,0.7970809792843692,0.7572229122191003,0.0918348915049226,2.0,3.0,8.0,3.0,2.0,8.0,10.0,0.7105638192970454
Outcome_Pred_Model,0.6396075479207968,0.12151857564701601,0.12148440268126678,0.40080657670234215,0.3930420093070695,0.39617853410956866,0.775894538606403,-0.10043446325034766,-0.07735821966977752,-0.057153446997776136,0.8469868173258004,0.00847457627118644,0.1445386064030132,1686.4,1705.6999999999998,1761.4,0.46679112217382324,0.6483946750195769,0.41712013167095163,0.8077346359253543,0.775894538606403,0.5850758547316431,0.25443115989340354,5.0,5.0,9.0,4.0,4.0,9.0,9.0,0.6486869933965871
Compromise Programming,0.5407145080770719,0.1008727829819573,0.014097075365944615,0.46523352542059343,0.44610346146490726,0.3260933200741073,0.6741996233521658,0.006423179708378246,0.01313711414213925,-0.07817835972750597,0.7655367231638418,0.21516007532956685,0.019303201506591337,1565.2,1844.9,1725.7,0.9658991910392036,0.9402897415818325,0.20269739765787442,0.6720701973501558,0.6741996233521658,0.9518521158444965,0.3886352782721026,1.0,2.0,10.0,5.0,5.0,3.0,8.0,0.637813206550313
Regulatory,0.7252638761255565,0.16065994506361478,0.041135214493790505,0.3814940701350438,0.3569930515713648,0.3553876424935443,0.795668549905838,0.07209276884367133,0.053194544149318124,-0.09805356146819566,0.928436911487759,0.0018832391713747645,0.0696798493408663,1717.8,1835.5,1779.4,0.6172578303256588,0.7582223962411898,0.0,0.9252405564094949,0.795668549905838,0.8595046496705665,0.0,3.0,4.0,11.0,2.0,3.0,7.0,11.0,0.626767097309366
Kalai-Smorodinsky,0.10486416899464898,0.01941402326906914,0.29278701677554914,0.3842474821856265,0.3852473385605915,0.2827328536564325,0.3592278719397363,0.16393173613390216,0.19490308686288588,-0.04658385093167694,0.326271186440678,0.4110169491525424,0.2627118644067797,1141.9,1269.7,1561.1,0.129682638456752,0.11413469068128423,0.5249142383595446,0.07415762789263192,0.3592278719397363,0.0,0.9181427284748801,7.0,7.0,4.0,7.0,7.0,10.0,3.0,0.2894420497176803
Nash Bargaining,0.1069981161363836,0.02035431778734531,0.29278701677554914,0.38370092208289713,0.38715975011155734,0.28467144253246074,0.3639359698681733,0.16717458233703725,0.19844938980617371,-0.04627307955322546,0.332391713747646,0.4048964218455744,0.2627118644067797,1147.6000000000001,1272.4,1563.3000000000002,0.11246629330014513,0.09801618376403043,0.5280836426504054,0.0770850405941735,0.3639359698681733,0.0,0.9120305196152442,8.0,8.0,3.0,6.0,6.0,10.0,5.0,0.28910138325621415
Applicant,0.05080672161253986,0.013202462476774403,0.0,0.2932437196806398,0.3817173455727672,0.11274869543388509,0.16760828625235405,0.1046228140090956,0.12702081837760226,-0.03498298793690069,0.18220338983050846,0.8177966101694916,0.0,933.7,1569.9,1502.4,0.44455507156191665,0.42267032106499636,0.6432257287436962,0.0,0.16760828625235405,1.0,0.9585198190235242,6.0,6.0,2.0,11.0,11.0,1.0,2.0,0.28459947456206425
Nash Social Welfare,0.10115073014507112,0.020553767779455855,0.020952043115552214,0.4569209960726029,0.3907534901510805,0.21331416062022934,0.2900188323917137,0.18835857283510715,0.2200143575017947,-0.0492848490000638,0.3093220338983051,0.6619585687382298,0.02871939736346516,1082.4,1598.4,1561.3,0.0,0.0,0.497368088806752,0.0690634210858899,0.2900188323917137,0.9284393025814595,0.9107340322007824,10.0,10.0,6.0,8.0,8.0,5.0,6.0,0.22929383493521388
Proportional Fairness,0.10115073014507112,0.020553767779455855,0.020952043115552214,0.4569209960726029,0.3907534901510805,0.21331416062022934,0.2900188323917137,0.18835857283510715,0.2200143575017947,-0.0492848490000638,0.3093220338983051,0.6619585687382298,0.02871939736346516,1082.4,1598.4,1561.3,0.0,0.0,0.497368088806752,0.0690634210858899,0.2900188323917137,0.9284393025814595,0.9107340322007824,10.0,10.0,6.0,8.0,8.0,5.0,6.0,0.22929383493521388
