Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.8063006935264503,0.009261888678398722,0.0,1.0,1.0,1.0,1.0,0.005328441649196325,0.0,0.0,0.8383458646616542,0.013157894736842105,0.14849624060150377,532.0,505.3,528.8,0.9689567430025448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993791348600509
Regulatory,0.7389592169990258,0.15325726606510792,0.051048535291772855,0.354813794255177,0.34493197858129454,0.3397492730826064,0.806390977443609,0.008123689727463246,0.01238198421297021,0.009112461105348912,0.9379699248120301,0.0018796992481203006,0.06015037593984962,436.19999999999993,458.70000000000005,446.3,0.9526717557251912,0.9223753153502808,0.6229326439165968,0.91066875263056,0.806390977443609,0.84968457015456,0.0,2.0,2.0,7.0,2.0,2.0,2.0,11.0,0.8198110214319132
Compromise Programming,0.5129745764438132,0.1039433670671519,0.19906037106735505,0.34722692235382596,0.32285103403909104,0.3337278106508876,0.6635338345864662,0.0931167016072676,0.08896455657019031,-0.0006684491978609097,0.7406015037593985,0.09022556390977443,0.16917293233082706,398.9,411.4,423.3,0.4575063613231556,0.44226664079177214,0.9723400331919624,0.6108908019806301,0.6635338345864662,0.41385497015416667,0.3424686256803942,8.0,8.0,2.0,5.0,5.0,6.0,8.0,0.6735609731337361
Bank,0.6960927472428439,0.14280996061618226,0.09391500504795477,0.36167800453514737,0.35235851734120455,0.3506804643168279,0.7988721804511278,-0.11006289308176098,-0.09215291750503019,0.02416666666666667,0.9210526315789473,0.0,0.07894736842105263,431.8,451.5,442.4,0.3587786259541986,0.42227828449446914,0.0,0.8538046116715385,0.7988721804511278,0.7234617159526002,0.07255306134493976,9.0,9.0,11.0,3.0,3.0,4.0,10.0,0.5620655197055986
Outcome_Pred_Model,0.6158056277897173,0.1349363128770128,0.1718732273445753,0.33174284788070346,0.33415640196022783,0.3328028475109947,0.7443609022556391,-0.17164570230607967,-0.15951091162358766,0.019924227048237597,0.8590225563909775,0.005639097744360902,0.13533834586466165,407.4,426.1,426.6,0.0,0.0,0.1755492255901685,0.7473004347765426,0.7443609022556391,0.4939091219844154,0.12723292594937252,11.0,11.0,9.0,4.0,4.0,5.0,9.0,0.48231429297559786
Nash Bargaining,0.061479452420149225,0.016242373747445037,0.3396094156419129,0.3536877999062873,0.3568360647318472,0.21470318387650242,0.2556390977443609,0.049353598881900745,0.04965175669401023,0.0032102728731941976,0.2199248120300752,0.4605263157894737,0.31954887218045114,327.7,305.4,368.7,0.7124681933842241,0.6887250145546282,0.867161122488516,0.011963889621816019,0.2556390977443609,0.0,0.9515228530545133,3.0,3.0,3.0,8.0,6.0,10.0,5.0,0.4205742801966556
Kalai-Smorodinsky,0.06050375909725926,0.016242373747445037,0.3396094156419129,0.3532536816240373,0.35608868057639126,0.21369627441446823,0.25375939849624063,0.05171208944793848,0.05246865810246093,0.004870129870129802,0.21804511278195488,0.462406015037594,0.31954887218045114,327.5,305.1,368.5,0.6987277353689569,0.6710653987968173,0.7984773846842841,0.01066959216832465,0.25375939849624063,0.0,0.9515228530545133,4.0,4.0,6.0,9.0,7.0,10.0,5.0,0.4030787018428094
Nash Social Welfare,0.07535620143057725,0.015154956627947554,0.19968318094883103,0.35683818385180627,0.2982941260741113,0.20175156667183666,0.24812030075187969,0.0838574423480084,0.08487850177991021,-0.004190844616376532,0.2387218045112782,0.5827067669172933,0.17857142857142858,351.5,334.9,376.4,0.5114503816793892,0.467882786726179,0.8265857400120056,0.030371969789606,0.24812030075187969,0.41202106964142976,0.9590746032511682,6.0,6.0,4.0,6.0,8.0,7.0,3.0,0.37292973859695205
Proportional Fairness,0.07535620143057725,0.015154956627947554,0.19968318094883103,0.35683818385180627,0.2982941260741113,0.20175156667183666,0.24812030075187969,0.0838574423480084,0.08487850177991021,-0.004190844616376532,0.2387218045112782,0.5827067669172933,0.17857142857142858,351.5,334.9,376.4,0.5114503816793892,0.467882786726179,0.8265857400120056,0.030371969789606,0.24812030075187969,0.41202106964142976,0.9590746032511682,6.0,6.0,4.0,6.0,8.0,7.0,3.0,0.37292973859695205
Applicant,0.05246059266089507,0.01647011939777656,0.08315278857660742,0.35772213624298593,0.32443229888878977,0.14476918211494796,0.16541353383458646,0.12229210342417893,0.11725739049682712,-0.011123470522803158,0.17105263157894737,0.7706766917293233,0.05827067669172932,368.4,346.80000000000007,377.09999999999997,0.28753180661577593,0.2648942363671646,0.5397184611253867,0.0,0.16541353383458646,0.7551516985492404,0.9499412352660485,10.0,10.0,8.0,11.0,11.0,3.0,7.0,0.2316154670820671
