Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.8063006935264503,0.009261888678398722,0.0,1.0,1.0,1.0,1.0,0.005328441649196325,0.0,0.0,0.8383458646616542,0.013157894736842105,0.14849624060150377,525.0,451.79999999999995,528.8,0.9832785087719299,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9966557017543861
Regulatory,0.7409294331337087,0.15325726606510792,0.04907831915708989,0.3620002747630169,0.34642674689220637,0.34138146585403967,0.8101503759398496,0.024283717679944083,0.02055409379353046,0.0019327406262079627,0.943609022556391,0.0018796992481203006,0.05451127819548872,442.0,479.9,447.5,0.9237938596491229,0.9393274853801168,0.9708134449255786,0.9139736922545408,0.8101503759398496,0.8486326169840211,0.0,2.0,2.0,3.0,2.0,2.0,7.0,11.0,0.8857763497417883
Bank,0.6336632909529616,0.13143102846602522,0.15634446133783714,0.35962301587301587,0.36566952375546347,0.36257165470324776,0.7537593984962406,-0.208508036338225,-0.20628385698808238,0.012347031963470312,0.8421052631578947,0.0,0.15789473684210525,434.0,428.79999999999995,430.9,0.345668859649123,0.39108187134502903,0.8135459442819766,0.7728151754618354,0.7537593984962406,0.5178023133595322,0.15157596025091055,9.0,9.0,4.0,3.0,3.0,8.0,9.0,0.6879097552770833
Outcome_Pred_Model,0.6158056277897173,0.1349363128770128,0.1718732273445753,0.33174284788070346,0.33415640196022783,0.3328028475109947,0.7443609022556391,-0.17164570230607967,-0.15951091162358766,0.019924227048237597,0.8590225563909775,0.005639097744360902,0.13533834586466165,427.8,438.0,426.6,0.46134868421052644,0.5291483918128654,0.6991217847996481,0.7493151110961408,0.7443609022556391,0.46990848341022584,0.12723292594937252,7.0,7.0,5.0,4.0,4.0,9.0,10.0,0.6797014769235188
Compromise Programming,0.39773200070905523,0.08408038037788523,0.006956390764578858,0.2894218200100553,0.30375827461029253,0.24756425151062508,0.5281954887218046,-0.19723969252271134,-0.20606717226435534,-0.0015527950310559868,0.6109022556390977,0.38345864661654133,0.005639097744360902,411.70000000000005,455.59999999999997,416.5,0.38103070175438625,0.3917214912280702,0.9765510503175365,0.4623377935149652,0.5281954887218046,0.9785450951997667,0.4804104613819897,8.0,8.0,2.0,5.0,5.0,6.0,8.0,0.5752621046060995
Nash Social Welfare,0.08947352979210259,0.02024959494491251,0.0028500191976554953,0.29235781269029354,0.3285287209054025,0.14603163713905135,0.23684210526315788,0.13452131376659676,0.12855595109116236,-0.020000000000000018,0.2631578947368421,0.7349624060150376,0.0018796992481203006,380.7,408.09999999999997,389.4,0.5778508771929827,0.6205226608187134,0.6979775280898876,0.05668035437538145,0.23684210526315788,0.9912099689862323,0.9236940347258122,5.0,5.0,6.0,8.0,8.0,4.0,3.0,0.3612385940369135
Proportional Fairness,0.08947352979210259,0.02024959494491251,0.0028500191976554953,0.29235781269029354,0.3285287209054025,0.14603163713905135,0.23684210526315788,0.13452131376659676,0.12855595109116236,-0.020000000000000018,0.2631578947368421,0.7349624060150376,0.0018796992481203006,380.7,408.09999999999997,389.4,0.5778508771929827,0.6205226608187134,0.6979775280898876,0.05668035437538145,0.23684210526315788,0.9912099689862323,0.9236940347258122,5.0,5.0,6.0,8.0,8.0,4.0,3.0,0.3612385940369135
Kalai-Smorodinsky,0.16400872351705045,0.02837844733037539,0.32423312195275916,0.36191263121410183,0.39820708893195694,0.2715672021015539,0.3684210526315789,0.30249825296995103,0.3196099674972915,0.021341463414634165,0.35150375939849626,0.3609022556390977,0.287593984962406,387.3,313.1,388.5,0.050712719298245945,0.056560672514619714,0.6777199232666483,0.15476608004025988,0.3684210526315789,0.0,0.8672418587394103,10.0,10.0,8.0,7.0,7.0,10.0,6.0,0.3240081655736624
Nash Bargaining,0.1678632241102995,0.02837844733037539,0.32423312195275916,0.3627270791357478,0.40044924139832466,0.274065861434576,0.37406015037593987,0.3186582809224319,0.3387710880668627,0.023949169110459412,0.35714285714285715,0.35526315789473684,0.287593984962406,387.9,313.8,389.3,0.0,0.0,0.6383406372532874,0.15983846891952821,0.37406015037593987,0.0,0.8672418587394103,11.0,11.0,9.0,6.0,6.0,10.0,6.0,0.3092598813849391
Maximin,0.07756246660810587,0.022144006431028464,0.0,0.28363311646893735,0.3195601110399317,0.13430736665761114,0.21428571428571427,0.12325296995108317,0.10713511840272402,-0.038651554780587016,0.24436090225563908,0.7556390977443609,0.0,378.6,405.9,387.0,0.6132127192982456,0.6837536549707602,0.41631809409989984,0.041005809003515206,0.21428571428571427,1.0,0.9105379770766255,4.0,4.0,10.0,10.0,10.0,1.0,5.0,0.29982161019461784
Applicant,0.04640221472428242,0.01721791340545391,0.0,0.27431679606965825,0.2896647448216955,0.09397114578925973,0.13909774436090225,0.04350104821802936,0.02652840117628852,-0.06622023809523814,0.15977443609022557,0.8402255639097744,0.0,370.6,394.79999999999995,377.70000000000005,0.8634868421052632,0.9216922514619883,0.0,0.0,0.13909774436090225,1.0,0.9447480546150536,3.0,3.0,11.0,11.0,11.0,1.0,2.0,0.22833646616541356
