Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.779760019045077,0.006821203641387128,0.0,1.0,1.0,1.0,1.0,-0.08057105349524118,0.0,0.0,0.8206214689265536,0.009887005649717515,0.1694915254237288,2103.0,1761.1999999999998,2103.0,0.7474465427290764,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9494893085458153
Bank,0.6390687196018842,0.12390151380977069,0.1286700634909265,0.39799303472469366,0.4008414610824249,0.39939917482007864,0.769774011299435,-0.11774266647912857,-0.08300071787508978,-0.04372021685818095,0.832391713747646,0.0,0.16760828625235405,1757.0,1693.4,1751.5,0.6309305116711981,0.7536015684937345,0.5083482612705328,0.8067709101185863,0.769774011299435,0.5823054453697394,0.24415057994112105,6.0,5.0,3.0,3.0,4.0,8.0,10.0,0.6971195411318375
Outcome_Pred_Model,0.6224647318428334,0.11718903462022728,0.1366415872507014,0.4058838250014721,0.4010629820870785,0.4032847222821589,0.7721280602636534,-0.09837935830715616,-0.07300789662598706,-0.05441702962859751,0.832391713747646,0.010828625235404897,0.15677966101694915,1766.4,1711.0,1763.4,0.6916256398951673,0.7832665586906489,0.38805822212232144,0.7839665614788257,0.7721280602636534,0.5564279259512577,0.2874851380344234,5.0,4.0,7.0,4.0,3.0,9.0,9.0,0.6815813088047243
Regulatory,0.7239069698216244,0.1617201915367053,0.04246705662945447,0.38553430458043164,0.3575667750366545,0.35617094463675353,0.7970809792843692,0.05188553925016015,0.04389088298636035,-0.08892517490360818,0.931261770244821,0.0018832391713747645,0.06685499058380415,1746.2,1883.1999999999998,1777.6,0.837362529698484,0.869704202540278,0.0,0.923289969520061,0.7970809792843692,0.8621415283085726,0.0,1.0,2.0,11.0,2.0,2.0,7.0,11.0,0.6709628915574567
Compromise Programming,0.38482623744777616,0.07519942777282226,0.009506688741073209,0.4699509959591201,0.40343755976286094,0.2751705085954618,0.5522598870056498,-0.05950427430571836,-0.04478104809763106,-0.061481164263349375,0.626647834274953,0.3653483992467043,0.00800376647834275,1631.6000000000001,1818.1,1669.4,0.8134812746466799,0.8670616315744607,0.3086191359196895,0.45758767256048843,0.5522598870056498,0.9691389588846274,0.558562486039963,2.0,3.0,8.0,5.0,5.0,6.0,8.0,0.5368415714276314
Applicant,0.05165381345493426,0.013408554425985618,0.0,0.29296476096212154,0.38248231019315354,0.11377306573363917,0.1694915254237288,0.07671870848766155,0.09912419239052406,-0.02499444920227112,0.18455743879472694,0.815442561205273,0.0,1462.4,1586.7999999999997,1502.0,0.7595218850270655,0.7057369363225642,0.7189271853627026,0.0,0.1694915254237288,1.0,0.9574732483788063,3.0,6.0,2.0,11.0,11.0,1.0,2.0,0.36348642424744515
Nash Social Welfare,0.09870033166657678,0.020760624523009846,0.004644980220126659,0.4591070407373768,0.38083126155415314,0.17127765708553397,0.2740112994350282,0.19377373528998082,0.22647523330940422,-0.046883642239743284,0.3050847457627119,0.6911487758945386,0.003766478342749529,1509.4,1642.6999999999998,1554.8000000000002,0.3926078330516569,0.3276787997613161,0.47277424766874476,0.06461491174012245,0.2740112994350282,0.9849212560274443,0.9100096064472477,8.0,8.0,4.0,8.0,8.0,4.0,4.0,0.29560391826611615
Proportional Fairness,0.09870033166657678,0.020760624523009846,0.004644980220126659,0.4591070407373768,0.38083126155415314,0.17127765708553397,0.2740112994350282,0.19377373528998082,0.22647523330940422,-0.046883642239743284,0.3050847457627119,0.6911487758945386,0.003766478342749529,1509.4,1642.6999999999998,1554.8000000000002,0.3926078330516569,0.3276787997613161,0.47277424766874476,0.06461491174012245,0.2740112994350282,0.9849212560274443,0.9100096064472477,8.0,8.0,4.0,8.0,8.0,4.0,4.0,0.29560391826611615
Maximin,0.08835677278301744,0.019923375979339283,0.0,0.2898989898989899,0.367374258940524,0.15279277907306202,0.24811676082862524,0.1930704674386985,0.22018664752333095,-0.05182876407353221,0.2796610169491525,0.7203389830508474,0.0,1496.4,1633.5,1541.3,0.3948122565949005,0.3463472849714433,0.4171643279902143,0.0504087989448391,0.24811676082862524,1.0,0.9154147324267431,7.0,7.0,6.0,10.0,10.0,1.0,3.0,0.2717237810374409
Nash Bargaining,0.1840213654008908,0.042357594005300425,0.30804821864346316,0.37383057417891813,0.3775976923567285,0.3020265785338328,0.417608286252354,0.3173378967602794,0.336826992103374,-0.07470767335236772,0.4053672316384181,0.3239171374764595,0.2707156308851224,1581.6,1300.9,1587.3,0.005290616503784373,8.524422470390647e-05,0.1598816259473399,0.18179703857718169,0.417608286252354,0.0,0.7705834566980577,10.0,10.0,9.0,6.0,6.0,10.0,7.0,0.2364371707066028
