Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.6620220146262796,0.01557718767431247,0.0,1.0,1.0,1.0,1.0,-0.028508771929824483,0.0,0.0,0.73,0.02,0.25,200.0,183.0,197.60000000000002,0.8743961352657008,1.0,1.0,1.0,1.0,1.0,0.9772849157678725,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9748792270531402
Bank,0.5732882762106561,0.22855428407227735,0.05990031458373869,0.4152380952380952,0.3859360730593607,0.38496365524402903,0.73,-0.13706140350877194,-0.12289915966386555,-0.011359185272228678,0.875,0.0,0.125,148.9,158.10000000000002,153.8,0.3961352657004831,0.46697038724373563,0.9386603995299652,0.8537422561904068,0.73,0.7444803000124445,0.037731459387229126,9.0,10.0,2.0,3.0,3.0,4.0,10.0,0.7297075842841709
Regulatory,0.60174558916593,0.2371072159023681,0.03144300162846492,0.44712610254919066,0.3884018264840183,0.3876257589859504,0.745,0.09758771929824561,0.03308823529411764,-0.08145442997777075,0.905,0.0,0.095,152.39999999999998,163.6,157.8,0.570048309178744,0.856492027334852,0.560146078120038,0.9006477789604137,0.745,0.8658720509458782,0.0,6.0,3.0,7.0,2.0,2.0,2.0,11.0,0.7041684332518392
Outcome_Pred_Model,0.46936512901420036,0.16866685823430977,0.1458375586846096,0.39909297052154197,0.39817351598173517,0.39861642592018015,0.68,-0.22697368421052633,-0.23056722689075626,-0.01388888888888884,0.735,0.02,0.245,142.8,146.0,151.5,0.0,0.0,0.9250000000000003,0.6824481654652755,0.68,0.37789359703754805,0.3019262431993891,11.0,11.0,3.0,4.0,4.0,5.0,9.0,0.5934896330930552
Compromise Programming,0.391189428377894,0.12343435709335542,0.16455209707009935,0.41738445864592016,0.3993607305936073,0.4052900634442467,0.625,0.1567982456140351,0.11292016806722682,-0.09622331691297203,0.61,0.095,0.295,144.3,143.59999999999997,155.6,0.3091787439613526,0.5102505694760822,0.48039408866995115,0.5535929881679423,0.625,0.2980620758360868,0.5014704829626802,10.0,7.0,10.0,5.0,5.0,8.0,8.0,0.5186331641598492
Maximin,0.05599540919746089,0.010428153682324505,0.23442542624563184,0.4487176305121204,0.37867579908675797,0.29891239324215546,0.335,-0.017543859649122806,-0.02626050420168069,-0.0535714285714286,0.18,0.425,0.395,129.8,115.4,142.9,0.9227053140096618,0.8861047835990887,0.7107142857142856,0.0011005331090694827,0.335,0.0,1.0,1.0,2.0,5.0,10.0,8.0,11.0,1.0,0.4609040265666034
Kalai-Smorodinsky,0.12860741499360995,0.05012491337198492,0.18858478802278503,0.4042471844456314,0.36625570776255706,0.3163150356974905,0.375,-0.12719298245614033,-0.12184873949579833,0.015686274509803977,0.305,0.38,0.315,131.4,121.80000000000001,142.0,0.4396135265700485,0.47152619589977207,0.9152941176470586,0.12078520244521426,0.375,0.1955446512649819,0.8248768134962298,8.0,8.0,4.0,6.0,6.0,9.0,6.0,0.4451385693324643
Nash Bargaining,0.12860741499360995,0.053370294619766404,0.18858478802278503,0.4000750981396142,0.36625570776255706,0.31567730279503553,0.375,-0.10635964912280702,-0.12184873949579833,-0.057040998217468775,0.31,0.375,0.315,131.4,122.0,142.1,0.5314009661835749,0.47152619589977207,0.6919786096256687,0.12078520244521426,0.375,0.1955446512649819,0.8105597379975183,7.0,8.0,6.0,6.0,6.0,9.0,7.0,0.4188329556508916
Nash Social Welfare,0.0757391114463255,0.01618363448893697,0.1608530117311319,0.43611357586512867,0.33465753424657535,0.2963682328277223,0.325,-0.02850877192982454,-0.05042016806722688,-0.0888888888888888,0.23,0.49,0.28,131.0,122.0,141.2,0.8743961352657006,0.7813211845102506,0.5200000000000007,0.0336436153337996,0.325,0.31384144498647726,0.9746095614202538,3.0,5.0,8.0,8.0,9.0,6.0,3.0,0.4156079501199002
Proportional Fairness,0.0757391114463255,0.01618363448893697,0.1608530117311319,0.43611357586512867,0.33465753424657535,0.2963682328277223,0.325,-0.02850877192982454,-0.05042016806722688,-0.0888888888888888,0.23,0.49,0.28,131.0,122.0,141.2,0.8743961352657006,0.7813211845102506,0.5200000000000007,0.0336436153337996,0.325,0.31384144498647726,0.9746095614202538,3.0,5.0,8.0,8.0,9.0,6.0,3.0,0.4156079501199002
Applicant,0.05532772204138773,0.02037807001233921,0.05595506979162597,0.44678287981859405,0.37831050228310503,0.20826534223322424,0.2,-0.07346491228070175,-0.049369747899159655,0.18518518518518523,0.16,0.735,0.105,128.2,123.40000000000002,132.7,0.676328502415459,0.785876993166287,0.0,0.0,0.2,0.7613097235749674,0.9561057107234895,5.0,4.0,11.0,11.0,11.0,3.0,5.0,0.21526570048309182
