Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.7336765559037314,0.013312896060795344,0.0,1.0,1.0,1.0,1.0,-0.1649223311666851,0.0,0.0,0.7325,0.02125,0.24625,800.0,731.1999999999999,787.4000000000001,0.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8
Regulatory,0.6266118705346163,0.22004985122462786,0.08076467025897618,0.32571599940020995,0.33243244804028577,0.31959216086672904,0.67375,0.04638096287319604,0.09911889911889915,-0.1290524340665069,0.8775,0.00375,0.11875,562.2,617.8,595.2,0.7187708750835001,0.4949556093623889,0.2748682450660439,0.8459920167418823,0.67375,0.7395586908596821,0.0,3.0,6.0,9.0,2.0,3.0,2.0,11.0,0.6374262273782854
Nash Bargaining,0.16211009698326126,0.05834215421949306,0.24586346816567278,0.3602224006687047,0.31740852124706714,0.2785051611949636,0.3475,0.01160442143145679,0.09472329472329472,-0.01521289789169078,0.33,0.37125,0.29875,493.6,482.3,543.5999999999999,0.9296370518815409,0.5173527037933818,0.9145203620092293,0.17782602794891159,0.3475,0.20716566645389017,0.7821905709938822,1.0,5.0,2.0,6.0,6.0,9.0,6.0,0.5433966883679363
Outcome_Pred_Model,0.521808424335962,0.15409775869053724,0.18168593627016266,0.37126645876645875,0.3727672770742017,0.37200720695748585,0.65625,-0.14512871359847235,-0.06084546084546094,-0.08446825080251485,0.74,0.01625,0.24375,556.2,578.6,595.3,0.12001781340458717,0.6899717514124288,0.525381978389778,0.6952367295815143,0.65625,0.41411853793427017,0.3190145297526785,10.0,2.0,7.0,4.0,4.0,5.0,9.0,0.5306273042751759
Bank,0.5994672938142669,0.2052122269208587,0.1110347702670101,0.3503554330480198,0.35100165739794303,0.34473003716783723,0.68,-0.13561749476699347,-0.0910206910206911,-0.12890244419028252,0.8475,0.0,0.1525,563.5999999999999,607.5,594.7,0.1776887107548435,0.5362187247780464,0.27571102205785847,0.806945700931177,0.68,0.6419468953973646,0.07177054674144165,8.0,3.0,8.0,3.0,2.0,4.0,10.0,0.5240690867487758
Kalai-Smorodinsky,0.159671457820585,0.05866145749973557,0.24586346816567278,0.35665590739607095,0.3128723328003435,0.27390115387180686,0.34,0.01799419778928424,0.09351549351549349,-0.02740534615060297,0.325,0.3775,0.2975,491.6,480.5,542.0,0.8908928969049212,0.5235068603712674,0.8460123058313025,0.17431814952902713,0.34,0.20716566645389017,0.7806460804116857,2.0,4.0,3.0,7.0,7.0,9.0,7.0,0.5182446704530501
Compromise Programming,0.4072307871038884,0.11707159458062508,0.23416894608953978,0.3630415625440199,0.3502385205914455,0.34840521586458095,0.5575,0.12606955308288348,0.15812295812295818,-0.15551001821493626,0.6025,0.1075,0.29,525.1000000000001,544.8,581.2,0.23558227566243628,0.19430992736077457,0.1262059237108626,0.5304216855195422,0.5575,0.24487691605736298,0.49811247612888443,7.0,8.0,10.0,5.0,5.0,8.0,8.0,0.4014419769785682
Maximin,0.03848736438192291,0.015439767227908702,0.3101069892697499,0.36859298682597447,0.3022869306070343,0.231456499393075,0.2575,0.12379273621974957,0.18780318780318778,-0.03458498023715406,0.1675,0.4425,0.39,468.2,437.0,533.3,0.24938766421732372,0.043079096045197884,0.80567071365117,0.0,0.2575,0.0,0.9897121868442539,4.0,9.0,4.0,11.0,10.0,11.0,2.0,0.3140116755736988
Nash Social Welfare,0.05979046593005607,0.021942702622876883,0.2208470687031726,0.37830563039834125,0.3370262156940876,0.24566018638759454,0.2725,0.1259961073776211,0.19625779625779627,-0.059893048128342175,0.2175,0.49875,0.28375,486.3,470.7,536.9,0.23602761077711,0.0,0.6634674005817905,0.030643602932749085,0.2725,0.2878358877907572,0.9582570684798821,5.0,10.0,5.0,8.0,8.0,6.0,4.0,0.29502772285832995
Proportional Fairness,0.05979046593005607,0.021942702622876883,0.2208470687031726,0.37830563039834125,0.3370262156940876,0.24566018638759454,0.2725,0.1259961073776211,0.19625779625779627,-0.059893048128342175,0.2175,0.49875,0.28375,486.3,470.7,536.9,0.23602761077711,0.0,0.6634674005817905,0.030643602932749085,0.2725,0.2878358877907572,0.9582570684798821,5.0,10.0,5.0,8.0,8.0,6.0,4.0,0.29502772285832995
Applicant,0.03963177108594052,0.02120858526694752,0.08945549294494273,0.33267793802553164,0.3220072145557518,0.14713952105989184,0.15125,0.14455950938268886,0.144005544005544,-0.17797101449275354,0.15125,0.7425,0.10625,484.1,484.6,516.8,0.12346916054330914,0.2662429378531075,0.0,0.0016461802311863302,0.15125,0.711533451227283,0.961808041528448,9.0,7.0,11.0,10.0,11.0,3.0,3.0,0.0855230681548991
