Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.6620220146262796,0.01557718767431247,0.0,1.0,1.0,1.0,1.0,-0.028508771929824483,0.0,0.0,0.73,0.02,0.25,200.0,183.0,197.60000000000002,0.8785046728971966,1.0,1.0,1.0,1.0,1.0,0.9776973560902468,2.0,1.0,1.0,1.0,1.0,1.0,6.0,0.9757009345794393
Regulatory,0.5967002366027043,0.24129916668075252,0.03648835419169057,0.4379324379324379,0.38173515981735157,0.37852702056432325,0.74,0.09100877192982448,0.03308823529411764,-0.07565011820330969,0.91,0.0,0.09,151.4,163.2,156.8,0.6121495327102807,0.8682008368200838,0.5914893617021277,0.892331642440109,0.74,0.8624850834016643,0.0,8.0,3.0,9.0,2.0,2.0,2.0,11.0,0.7151941073705035
Bank,0.5586411270295525,0.23301668328797687,0.07454746376484239,0.3791629826112585,0.36575342465753424,0.3606359649122807,0.705,-0.1578947368421053,-0.17279411764705888,-0.03864734299516914,0.87,0.0,0.13,144.1,154.8,150.39999999999998,0.32710280373831757,0.3117154811715479,0.7913043478260867,0.8295997030790239,0.705,0.719050406922045,0.03587493850010545,10.0,10.0,7.0,3.0,3.0,4.0,10.0,0.6716013709286857
Outcome_Pred_Model,0.45005861302942446,0.16316492283768022,0.16514407466938547,0.3985042735042735,0.4002739726027397,0.39932386747802573,0.675,-0.23464912280701755,-0.2510504201680672,-0.027379400260756137,0.72,0.02,0.26,142.0,144.6,151.3,0.0,0.0,0.8521512385919169,0.6506256871252895,0.675,0.3776158405072286,0.33843245554436197,11.0,11.0,5.0,4.0,4.0,5.0,9.0,0.5705553851434413
Compromise Programming,0.38926871274410907,0.10923581413431145,0.16902386654859228,0.43333333333333335,0.4149771689497717,0.42032353611300977,0.64,0.11513157894736847,0.06565126050420178,-0.10449320794148376,0.6,0.1,0.3,146.9,144.8,157.5,0.5093457943925231,0.7384937238493721,0.43573667711598785,0.5504271175519497,0.64,0.3629939352854928,0.5720222336761709,9.0,9.0,10.0,5.0,5.0,6.0,8.0,0.5551019178120922
Nash Bargaining,0.06237781582096227,0.011442335322256216,0.26534106331365187,0.44257241459537006,0.40114155251141553,0.3132938230977447,0.365,-0.023026315789473673,-0.023634453781512632,-0.01736111111111116,0.205,0.37,0.425,130.2,115.30000000000001,143.7,0.9018691588785047,0.905857740585774,0.9062499999999998,0.011620504537032627,0.365,0.0,0.9956071503877422,1.0,2.0,4.0,8.0,6.0,10.0,2.0,0.5099479326831075
Nash Social Welfare,0.0753171192675891,0.012938253241155492,0.17423915363090922,0.45369114314691766,0.3636073059360731,0.3174021315129562,0.35,-0.055921052631578955,-0.05934873949579833,-0.0030030030030030463,0.23,0.465,0.305,134.39999999999998,122.8,143.89999999999998,0.7616822429906542,0.7635983263598326,0.9837837837837835,0.0329480555042544,0.35,0.34333890331574407,0.9891276972096619,5.0,7.0,2.0,6.0,9.0,7.0,4.0,0.4956828164557384
Proportional Fairness,0.0753171192675891,0.012938253241155492,0.17423915363090922,0.45369114314691766,0.3636073059360731,0.3174021315129562,0.35,-0.055921052631578955,-0.05934873949579833,-0.0030030030030030463,0.23,0.465,0.305,134.39999999999998,122.8,143.89999999999998,0.7616822429906542,0.7635983263598326,0.9837837837837835,0.0329480555042544,0.35,0.34333890331574407,0.9891276972096619,5.0,7.0,2.0,6.0,9.0,7.0,4.0,0.4956828164557384
Kalai-Smorodinsky,0.05840444797304667,0.011442335322256216,0.26534106331365187,0.44078616601836423,0.39657534246575343,0.30729896563229897,0.355,-0.03728070175438597,-0.04411764705882354,-0.028225806451612878,0.195,0.38,0.425,129.8,114.5,143.2,0.8411214953271028,0.8242677824267782,0.8475806451612905,0.005071295328245449,0.355,0.0,0.9956071503877422,4.0,4.0,6.0,10.0,8.0,10.0,2.0,0.4807546871633278
Maximin,0.05911261451396552,0.010428153682324505,0.2544576952252269,0.4558152663953616,0.4032420091324201,0.31529485053650363,0.36,-0.030701754385964924,-0.04411764705882354,-0.05833333333333335,0.19,0.395,0.415,132.6,116.4,145.1,0.8691588785046729,0.8242677824267782,0.685,0.006238549659750071,0.36,0.04101652398807223,1.0,3.0,4.0,8.0,9.0,7.0,9.0,1.0,0.4560794856328846
Applicant,0.05532772204138773,0.02037807001233921,0.0708943933443289,0.41858133433283357,0.3716438356164384,0.1967381951194821,0.195,-0.07346491228070175,-0.049369747899159655,0.18518518518518523,0.16,0.725,0.115,125.19999999999999,121.60000000000002,131.1,0.6869158878504673,0.8033472803347281,0.0,0.0,0.195,0.7328178591772404,0.9569027042382213,7.0,6.0,11.0,11.0,11.0,3.0,7.0,0.21538317757009348
