Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.7336765559037314,0.013312896060795344,0.0,1.0,1.0,1.0,1.0,-0.1649223311666851,0.0,0.0,0.7325,0.02125,0.24625,800.0,731.1999999999999,787.4000000000001,0.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8
Regulatory,0.6174091395753082,0.21292739242971837,0.09033954579832018,0.3383617837766309,0.3408638103982953,0.332232204313594,0.675,0.055653483162572015,0.11159291159291163,-0.12838601129671923,0.85875,0.00375,0.1375,563.8,614.8,598.8,0.6625473168559346,0.4582332019609726,0.23012664260346638,0.8328793963295246,0.675,0.7568037696203379,0.0,1.0,4.0,9.0,2.0,3.0,2.0,11.0,0.6151106711577852
Bank,0.5961758685883751,0.20444190775727364,0.11432619549290181,0.3488450816407806,0.34986400097018416,0.3438270735698234,0.6775,-0.1087914509199075,-0.05205425205425207,-0.12012389084212294,0.84375,0.00125,0.155,562.6,606.5999999999999,594.7,0.34034736138944555,0.7472844371815821,0.27967087526051104,0.8023590908364406,0.6775,0.6922311316508852,0.04250936092718459,2.0,3.0,8.0,3.0,2.0,4.0,10.0,0.5554754654972796
Outcome_Pred_Model,0.5240022570857712,0.1454186964044455,0.18021111111928148,0.379718793797188,0.381796342174714,0.3807381702118544,0.66375,-0.13234916088281745,-0.05132165132165134,-0.08861419604056009,0.73,0.0175,0.2525,561.4,581.0,601.6,0.19750612335782658,0.7508411035278284,0.46862038994988275,0.698618095256711,0.66375,0.5148673539428555,0.33819535781862664,4.0,2.0,7.0,4.0,4.0,5.0,9.0,0.538448921712884
Compromise Programming,0.39927636862023796,0.10231874050821109,0.23714030964067298,0.37056720816169747,0.34470701015805916,0.3529711536687123,0.5625,0.14268664389849806,0.18012078012078014,-0.15757416519371337,0.58375,0.105,0.31125,530.0,543.6,587.8,0.1348252059674907,0.1255407094107467,0.05509836802804291,0.5193394423724237,0.5625,0.3616125821085336,0.554111319235467,8.0,6.0,10.0,5.0,5.0,8.0,8.0,0.3668526032735915
Maximin,0.040253827509533824,0.016686646537255708,0.3242717250114366,0.3762553574120739,0.342199342272208,0.2445525058846226,0.27375,0.13113730674598803,0.18780318780318778,-0.05991685008559555,0.1675,0.42,0.4125,477.6,438.0,543.0999999999999,0.20485415274994456,0.08824377583389409,0.640705509314308,0.003287175138365242,0.27375,0.12705271601046572,0.9830986699972677,3.0,7.0,2.0,10.0,10.0,9.0,4.0,0.2792693674405236
Nash Social Welfare,0.057269388652802365,0.02039503483399223,0.2260253969693034,0.379875778576189,0.32755621955648045,0.24986076389952286,0.27625,0.1365355660827733,0.2024948024948025,-0.06896551724137934,0.215,0.4875,0.2975,490.79999999999995,470.30000000000007,542.6,0.1721220218214209,0.016918196674036157,0.5864447086801425,0.02774502360402994,0.27625,0.39153419438573944,0.9645209195623354,6.0,9.0,3.0,6.0,8.0,6.0,6.0,0.26776235082111866
Proportional Fairness,0.057269388652802365,0.02039503483399223,0.2260253969693034,0.379875778576189,0.32755621955648045,0.24986076389952286,0.27625,0.1365355660827733,0.2024948024948025,-0.06896551724137934,0.215,0.4875,0.2975,490.79999999999995,470.30000000000007,542.6,0.1721220218214209,0.016918196674036157,0.5864447086801425,0.02774502360402994,0.27625,0.39153419438573944,0.9645209195623354,6.0,9.0,3.0,6.0,8.0,6.0,6.0,0.26776235082111866
Nash Bargaining,0.04353607336173941,0.015804571225585772,0.3714677059643893,0.3752474807892221,0.359731956052288,0.2527172295895969,0.295,0.13559913334067789,0.19021879021879023,-0.08105263157894738,0.18125,0.35875,0.46,468.0,428.20000000000005,543.0,0.17780004453351184,0.07651638950302786,0.5139637023593466,0.00800501376880375,0.295,0.0,0.9875175640541388,5.0,8.0,6.0,8.0,6.0,11.0,2.0,0.2579537521323324
Kalai-Smorodinsky,0.04264567122486328,0.015804571225585772,0.3710558043236292,0.3745091545993547,0.35859429962452927,0.25131150835130045,0.2925,0.1461385920458301,0.20597960597960596,-0.07011935208866149,0.17875,0.3625,0.45875,468.4,428.30000000000007,543.0999999999999,0.11389445557782274,0.0,0.5795256783373023,0.0067251664364790225,0.2925,0.0011088491250961956,0.9875175640541388,9.0,11.0,5.0,9.0,7.0,10.0,2.0,0.2570290600703208
Applicant,0.03796690805159344,0.01987253492878539,0.09962335255722538,0.3247795784352589,0.3023993714184969,0.14477290289624997,0.15,0.15190407990892735,0.15560835560835562,-0.1667625071880391,0.15125,0.7325,0.11625,479.79999999999995,481.0,514.4,0.07893564907592987,0.24454484283379785,0.0,0.0,0.15,0.7318115385061879,0.9671384644536704,10.0,5.0,11.0,11.0,11.0,3.0,5.0,0.07578712981518597
