Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.779760019045077,0.006821203641387129,0.0,1.0,1.0,1.0,1.0,-0.08057105349524118,0.0,0.0,0.8206214689265536,0.009887005649717515,0.1694915254237288,2103.0,1761.2,2103.0,0.5981213703862496,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9196242740772499
Outcome_Pred_Model,0.6327392773137112,0.12075297625756341,0.1289511050679384,0.3955403497261525,0.38908650474915535,0.39175302798800365,0.769774011299435,-0.09345648334818013,-0.0658865757358219,-0.05310475415479954,0.8436911487758946,0.008945386064030132,0.14736346516007534,1752.3000000000002,1727.7,1752.7,0.5338504111938261,0.7169206094627109,0.4423841595014817,0.7982267648140292,0.769774011299435,0.65159537499924,0.26015502412256675,5.0,4.0,8.0,4.0,3.0,9.0,9.0,0.6628018716216415
Regulatory,0.7244224871670577,0.1608153190721998,0.04199534205246207,0.37766497461928933,0.3554934021801492,0.35346398187607925,0.7937853107344632,0.056699016987825646,0.04104809763101225,-0.09523537585898378,0.9274952919020716,0.0018832391713747645,0.07062146892655367,1743.9,1875.6,1775.1,0.7171921892660873,0.823638270310283,0.0,0.9240540300453903,0.7937853107344632,0.8865355097821139,0.0,1.0,2.0,11.0,2.0,2.0,7.0,11.0,0.6457633681560808
Bank,0.6438570597923612,0.12268589332809517,0.12388172330044958,0.39663643235071805,0.40007649646203863,0.3983461648132307,0.7678907721280602,-0.12916686201884753,-0.10872936109117015,-0.057465288969201445,0.8305084745762712,0.0,0.1694915254237288,1755.0,1689.3999999999999,1749.4,0.3557313793506648,0.5328480661279379,0.39659723657424295,0.8134849584021828,0.7678907721280602,0.665292008717556,0.24760313494729377,6.0,6.0,9.0,3.0,4.0,8.0,10.0,0.6203190237166423
Compromise Programming,0.4001192536387934,0.0710182710173536,0.005395887034320468,0.48272588922130805,0.4068799005545993,0.2781877296809357,0.5607344632768362,-0.059027614984293764,-0.04697774587221826,-0.06524796841631042,0.632768361581921,0.35969868173258,0.007532956685499058,1635.5,1823.2999999999997,1673.4,0.7055774252640601,0.7981617420270186,0.31487676897580674,0.47897592854980353,0.5607344632768362,0.9854212028834617,0.583119996524742,2.0,3.0,10.0,5.0,5.0,6.0,8.0,0.5241798098686685
Applicant,0.05111659120956947,0.013009251274388888,0.0,0.29421825264858187,0.3820998278829604,0.11332934668779464,0.16854990583804144,0.08189163423820464,0.10413496051687005,-0.028684850813164298,0.18267419962335216,0.8173258003766478,0.0,1462.0,1585.9,1501.9,0.5915344740226839,0.552587749059281,0.6988004661667077,0.0,0.16854990583804144,1.0,0.9598163370354111,4.0,5.0,2.0,11.0,11.0,1.0,2.0,0.3254869503730949
Nash Bargaining,0.10771307826315933,0.01992841589355351,0.37011880961011095,0.38050422200278106,0.3919375916363868,0.2926290527834608,0.384180790960452,0.20048603622610844,0.23274946159368276,-0.0499027342483519,0.3366290018832392,0.3267419962335217,0.3366290018832392,1567.1999999999998,1170.2,1551.3000000000002,0.0,0.0,0.47600632854913594,0.07767377690033404,0.384180790960452,0.0,0.9148849797571956,11.0,11.0,4.0,6.0,6.0,10.0,5.0,0.2644083374740748
Kalai-Smorodinsky,0.10355860026061148,0.01898812137527734,0.37011880961011095,0.3804082737043631,0.38830400968955187,0.2887735979976462,0.3752354048964218,0.1971259787144264,0.2285139985642498,-0.05015206289091645,0.326271186440678,0.3370998116760829,0.3366290018832392,1563.4,1164.7,1547.1,0.016759558794870788,0.018197520202332007,0.4733883030484677,0.07197211564348438,0.3752354048964218,0.0,0.920991021638378,10.0,10.0,5.0,7.0,7.0,10.0,3.0,0.2625181574559333
Nash Social Welfare,0.0987627284950238,0.020490128839670125,0.0032155766983361983,0.42628023824111144,0.3791706508573978,0.16794776730800087,0.2735404896421846,0.1910075484082704,0.22218234027279254,-0.05022831050228305,0.3050847457627119,0.6925612052730696,0.0023540489642184556,1507.9,1644.7999999999997,1553.1,0.04727754608878698,0.045401270742088884,0.47258768026855125,0.06539019699524487,0.2735404896421846,0.9913120419312826,0.911237353712881,7.0,8.0,6.0,8.0,8.0,4.0,6.0,0.22646728052739046
Proportional Fairness,0.0987627284950238,0.020490128839670125,0.0032155766983361983,0.42628023824111144,0.3791706508573978,0.16794776730800087,0.2735404896421846,0.1910075484082704,0.22218234027279254,-0.05022831050228305,0.3050847457627119,0.6925612052730696,0.0023540489642184556,1507.9,1644.7999999999997,1553.1,0.04727754608878698,0.045401270742088884,0.47258768026855125,0.06539019699524487,0.2735404896421846,0.9913120419312826,0.911237353712881,7.0,8.0,6.0,8.0,8.0,4.0,6.0,0.22646728052739046
Maximin,0.08788269781348262,0.019641609642527074,0.0,0.29021647831188196,0.36699177663033083,0.15239440689312153,0.24717514124293785,0.19210933470861266,0.22162239770279973,-0.04703523787493258,0.2782485875706215,0.7217514124293786,0.0,1496.0,1632.8,1540.8000000000002,0.04178196983279436,0.04780704459934626,0.506115900203111,0.0504582971579525,0.24717514124293785,1.0,0.9167474291775782,9.0,7.0,3.0,10.0,10.0,1.0,4.0,0.21854128993594674
