Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.7336765559037314,0.013312896060795344,0.0,1.0,1.0,1.0,1.0,-0.1649223311666851,0.0,0.0,0.7325,0.02125,0.24625,800.0,731.2,787.4,0.2380386834068543,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8476077366813709
Bank,0.610601606833328,0.20734956325298198,0.09941636880448998,0.34980168301441816,0.34821526538579256,0.34046839630109843,0.68375,-0.10497227424626343,-0.04755964755964759,-0.12050874403815581,0.86375,0.00125,0.135,566.8000000000001,613.5999999999999,595.5,0.5150152697658639,0.8194527961515332,0.19900380682895547,0.8224264112894779,0.68375,0.6895284727816031,0.012000687613996695,2.0,2.0,8.0,3.0,2.0,4.0,10.0,0.5807890975768595
Regulatory,0.6246155286724981,0.20970642059027203,0.08157659409608024,0.3469504965169705,0.3448311706311394,0.33678730436018345,0.68125,0.0770445448202417,0.10327690327690331,-0.15044858523119398,0.865,0.005,0.13,568.8,620.1,602.9000000000001,0.6440447913131997,0.6079374624173179,0.0,0.8426458175267837,0.68125,0.7452410497501349,0.0,1.0,4.0,11.0,2.0,3.0,2.0,11.0,0.5698381217679966
Outcome_Pred_Model,0.514319789000842,0.15023618464510438,0.18822014066432366,0.37116605637114924,0.3727239652812668,0.3718758793584201,0.64875,-0.18886563108222254,-0.07694287694287694,-0.04661087866108793,0.7225,0.02,0.2575,552.0,570.9000000000001,590.4,0.12741771292840165,0.707907396271798,0.6901873248627688,0.6835101813887278,0.64875,0.41219946747165,0.3028115926309055,10.0,3.0,2.0,4.0,4.0,5.0,9.0,0.5597230438359797
Compromise Programming,0.4021532687016531,0.11381166295143996,0.225880182571415,0.3566465855748692,0.33498121966688305,0.3370896197028456,0.54125,0.216444493408248,0.26341946341946343,-0.15006905017646155,0.595,0.13125,0.27375,520.9,546.0,577.3,0.0,0.0,0.0025226894234279262,0.521675366967599,0.54125,0.294589350882123,0.48827861238591513,11.0,11.0,10.0,5.0,5.0,8.0,8.0,0.32133961127820543
Nash Social Welfare,0.06058095967127406,0.0204549041990377,0.21913446830274358,0.372988015161597,0.3347797773671933,0.2442830763526221,0.2725,0.14004259850905215,0.2153054153054153,-0.05129666571672842,0.22375,0.49625,0.28,484.9,471.20000000000005,535.5999999999999,0.35298608754665795,0.18265183403487673,0.6590418870479842,0.028851919330278326,0.2725,0.3156558234998471,0.9636341974341908,7.0,9.0,3.0,6.0,6.0,6.0,5.0,0.3171759787849841
Proportional Fairness,0.06058095967127406,0.0204549041990377,0.21913446830274358,0.372988015161597,0.3347797773671933,0.2442830763526221,0.2725,0.14004259850905215,0.2153054153054153,-0.05129666571672842,0.22375,0.49625,0.28,484.9,471.20000000000005,535.5999999999999,0.35298608754665795,0.18265183403487673,0.6590418870479842,0.028851919330278326,0.2725,0.3156558234998471,0.9636341974341908,7.0,9.0,3.0,6.0,6.0,6.0,5.0,0.3171759787849841
Nash Bargaining,0.045937096450755,0.018153605632509864,0.23854472203211732,0.3693914512729844,0.3519968095344373,0.23213870779536697,0.24875,0.12505967463552567,0.1806949806949807,-0.061224489795918324,0.18375,0.50875,0.3075,478.20000000000005,456.90000000000003,531.0,0.4222090261282663,0.31404088995790747,0.5930537352555705,0.007723628282470626,0.24875,0.2550387320538047,0.9753519899227228,4.0,8.0,5.0,8.0,9.0,9.0,4.0,0.30409727793326147
Kalai-Smorodinsky,0.04444989344753783,0.01751499907202484,0.23854472203211732,0.3695655421665747,0.35029032489279904,0.22984657446033865,0.245,0.11676030994087622,0.16372636372636373,-0.07867907801418439,0.17875,0.51375,0.3075,477.6,455.70000000000005,530.3,0.4605531048523923,0.37845760673481654,0.477036770447004,0.005577879075040357,0.245,0.2550387320538047,0.9786036580315111,3.0,6.0,6.0,9.0,10.0,9.0,3.0,0.28663355087488734
Maximin,0.04200210091506697,0.01588854798828955,0.3202109053129272,0.3811230975990701,0.37521566725129096,0.24605075814816116,0.2725,0.1327347508354449,0.17412137412137413,-0.11380504700643246,0.16625,0.43125,0.4025,475.7,439.3,540.2,0.386749236511707,0.33899579073962716,0.2435618664572451,0.0020461830825356194,0.2725,0.0,0.9868852502460811,5.0,7.0,7.0,10.0,6.0,11.0,2.0,0.23547145721029755
Applicant,0.04058390646114776,0.02153986242019913,0.08196586368330454,0.32725192900157296,0.33370921175594165,0.13849896019013666,0.145,0.13466270059858254,0.14816354816354815,-0.13390663390663393,0.1475,0.75875,0.09375,483.59999999999997,485.1,514.2,0.37784187309127926,0.43753758268190024,0.10995085995086007,0.0,0.145,0.7440253835102738,0.9581097880945204,6.0,5.0,9.0,11.0,11.0,3.0,7.0,0.15555854660842788
