Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Equal_Opportunity Normalized,Conditional_Outcome_Parity Normalized,Total_Profit Normalized,Accuracy Normalized,Unexploited_Profit Normalized,Total_Loss Normalized,Demographic_Parity Rank,Equal_Opportunity Rank,Conditional_Outcome_Parity Rank,Total_Profit Rank,Accuracy Rank,Unexploited_Profit Rank,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.779760019045077,0.006821203641387128,0.0,1.0,1.0,1.0,1.0,-0.08057105349524118,0.0,0.0,0.8206214689265536,0.009887005649717515,0.1694915254237288,2124.0,2001.3000000000002,2103.0,0.5724238026124822,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9144847605224965
Bank,0.6927324098877606,0.1434359714176228,0.07500637320504996,0.4052345966490017,0.3811069675527507,0.38553819959018026,0.7989642184557438,-0.08231359494897406,-0.061852117731514666,-0.06221154154900177,0.9020715630885122,0.0,0.09792843691148775,1723.4,1797.8,1775.4,0.5631764461953139,0.7213994697018692,0.3379807546345629,0.8798833253495336,0.7989642184557438,0.7335861698150522,0.11613326505764737,3.0,3.0,9.0,3.0,2.0,4.0,10.0,0.6757937926181796
Regulatory,0.721017419600818,0.16138609716591368,0.04561627777647659,0.37140914499405064,0.3533897494740868,0.35117999808570227,0.7886064030131826,0.04551705815243723,0.031069633883704206,-0.0939724063681272,0.9232580037664784,0.0018832391713747645,0.0748587570621469,1707.6999999999998,1809.2000000000003,1767.7,0.7584490980717395,0.8600530298131024,0.0,0.9189226755291653,0.7886064030131826,0.8379763377174805,0.0,1.0,2.0,11.0,2.0,3.0,2.0,11.0,0.650916915925454
Outcome_Pred_Model,0.6209730502220185,0.11875485040622655,0.13949735378863448,0.4030463872450329,0.39901988908013003,0.4008424008424008,0.7707156308851224,-0.09801991029427848,-0.07229002153625275,-0.054209363070122585,0.8342749529190208,0.008945386064030132,0.15677966101694915,1688.9,1733.1,1760.1,0.479825834542816,0.6743840134514645,0.42313530997851645,0.7808400936491818,0.7707156308851224,0.5045217794773645,0.2758145513355033,4.0,4.0,8.0,4.0,4.0,5.0,9.0,0.6450464999881519
Compromise Programming,0.5014883129960834,0.09860855732415365,0.20247316432905954,0.3850355518021085,0.372738573340983,0.37737550790918206,0.6897363465160076,0.1334489818244331,0.14344580043072508,-0.08095066650274862,0.7354048964218456,0.06544256120527307,0.19915254237288135,1619.3,1653.7,1723.9,0.2918100767157371,0.35387699670180406,0.13856982457560207,0.6159256550470552,0.6897363465160076,0.2808390952178534,0.40615652371150124,7.0,5.0,10.0,5.0,5.0,8.0,8.0,0.48515564987408194
Nash Bargaining,0.19225083721971675,0.03831367742101687,0.2072606405048797,0.3879814452683543,0.34744374322687577,0.292842448677689,0.3813559322033898,0.11013955959804339,0.1482268485283561,-0.02351566614007372,0.3705273069679849,0.4232580037664783,0.2062146892655367,1488.5,1424.1999999999998,1581.8,0.4155090192826041,0.33234171894199027,0.749759881129855,0.1891119389490231,0.3813559322033898,0.2638345419989869,0.7962507975678677,5.0,6.0,2.0,6.0,6.0,10.0,7.0,0.4234185407536524
Kalai-Smorodinsky,0.190953873787742,0.0380367413642643,0.2071302581766325,0.38824371445115996,0.3464875374513929,0.29204910846826304,0.3790018832391714,0.11374966790129248,0.15181622397702804,-0.023771514093290147,0.3677024482109228,0.4265536723163842,0.20574387947269304,1488.3,1423.3,1581.3,0.3963508189923284,0.31617409299618415,0.7470372951803779,0.18732185260630335,0.3790018832391714,0.2642976447190959,0.7980425113939353,6.0,7.0,3.0,7.0,7.0,9.0,6.0,0.4177427466514705
Nash Social Welfare,0.08741136975238221,0.015329337188970216,0.1886295769255959,0.40051152045822264,0.36512876904443164,0.2678122522785673,0.3145009416195857,0.17839561160860798,0.2179899497487437,-0.03494776828110169,0.2824858757062147,0.5207156308851224,0.1967984934086629,1468.6000000000001,1390.1,1560.6999999999998,0.05328633630520452,0.018107741059302795,0.6281060618561005,0.04441109830501353,0.3145009416195857,0.3300098921256625,0.9449542949011703,8.0,9.0,4.0,8.0,8.0,6.0,4.0,0.270961075941098
Proportional Fairness,0.08741136975238221,0.015329337188970216,0.1886295769255959,0.40051152045822264,0.36512876904443164,0.2678122522785673,0.3145009416195857,0.17839561160860798,0.2179899497487437,-0.03494776828110169,0.2824858757062147,0.5207156308851224,0.1967984934086629,1468.6000000000001,1390.1,1560.6999999999998,0.05328633630520452,0.018107741059302795,0.6281060618561005,0.04441109830501353,0.3145009416195857,0.3300098921256625,0.9449542949011703,8.0,9.0,4.0,8.0,8.0,6.0,4.0,0.270961075941098
Maximin,0.0672360080600217,0.01246916735632332,0.28154083875067454,0.3908918161189389,0.35541212468923317,0.2537084058145452,0.2900188323917137,0.1840842671167581,0.21682699210337403,-0.046300287356321856,0.23258003766478344,0.480225988700565,0.2871939736346516,1399.7,1298.0,1530.1,0.023097657059921395,0.02334605186574379,0.5072991195421211,0.016564793209166623,0.2900188323917137,0.0,0.9634589486257438,10.0,8.0,7.0,10.0,10.0,11.0,3.0,0.22539984691892734
Applicant,0.05523439085429993,0.012117573202894303,0.06551573164881473,0.42453947951795445,0.362205966724039,0.19605307133223795,0.20951035781544255,0.18843671370747186,0.22201005025125625,-0.036286368094148314,0.2010357815442561,0.730225988700565,0.0687382297551789,1487.6999999999998,1415.0,1529.0,0.0,0.0,0.6138614568195666,0.0,0.20951035781544255,0.7672958142074947,0.9657336834986612,11.0,11.0,6.0,11.0,11.0,3.0,2.0,0.20657643449009033
